ID,topic,premise,conclusion,validity_101,validity_102,validity_103,validity_111,validity_112,novelty_101,novelty_102,novelty_103,novelty_111,novelty_112
test_1137#T5cherrysmooth+topic_selected_prediction,Withdrawing from Iraq,"Sheikh Mahmood Ejemi, head of the Ejmani tribe in Hiyt, believes the improved security could quickly unravel without sufficient US support. - ""I advise the Americans to withdraw only when Iraqis can secure and achieve security and have a strong and capable military force to protect the borders and the populace. We need to have a national government that protects Iraqis, not works to isolate and kill them, like it is doing now. We need US support in fighting sectarian militias and al-Qaeda.","Iraq needs a government that protects Iraqis, not invaders.", -1,, 1,, -1, -1,, 1,, -1
test_1137#T5smooth+topic+specific+generic_best_beam_prediction,Withdrawing from Iraq,"Sheikh Mahmood Ejemi, head of the Ejmani tribe in Hiyt, believes the improved security could quickly unravel without sufficient US support. - ""I advise the Americans to withdraw only when Iraqis can secure and achieve security and have a strong and capable military force to protect the borders and the populace. We need to have a national government that protects Iraqis, not works to isolate and kill them, like it is doing now. We need US support in fighting sectarian militias and al-Qaeda.",Iraq's security will be weakened with withdrawal, 1,, 1,, 1, 1,, -1,, 1
test_1137#T5smooth+topic+specific+inf_best_beam_prediction,Withdrawing from Iraq,"Sheikh Mahmood Ejemi, head of the Ejmani tribe in Hiyt, believes the improved security could quickly unravel without sufficient US support. - ""I advise the Americans to withdraw only when Iraqis can secure and achieve security and have a strong and capable military force to protect the borders and the populace. We need to have a national government that protects Iraqis, not works to isolate and kill them, like it is doing now. We need US support in fighting sectarian militias and al-Qaeda.",The US should not withdraw before the Iraqi government is sufficiently secure, 1,, 1,, 1, 1,, 1,, -1
test_1137#T5smooth+topic_best_beam_prediction,Withdrawing from Iraq,"Sheikh Mahmood Ejemi, head of the Ejmani tribe in Hiyt, believes the improved security could quickly unravel without sufficient US support. - ""I advise the Americans to withdraw only when Iraqis can secure and achieve security and have a strong and capable military force to protect the borders and the populace. We need to have a national government that protects Iraqis, not works to isolate and kill them, like it is doing now. We need US support in fighting sectarian militias and al-Qaeda.",Iraq is better off with a national government that protects its citizens, 1,, 1,, 1, -1,, 1,, 1
test_1191#T5+topic+gen_best_beam_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Removing Yucca Mountain license risks breaching contract., 1, 1,, 1,, 1, -1,, -1,
test_1191#T5+topic+inf_best_beam_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Unchecked Yucca Mountain waste contracts will be costly, -1, -1,, -1,, -1, 1,, 1,
test_1191#T5+topic+is_best_beam_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Licensees for Yucca Mountain must be paid back, -1, 1,, -1,, -1, 1,, 1,
test_1191#T5+topic+specific+generic+inf_best_beam_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Removing the Yucca Mountain Nuclear Waste Repository would be costly, -1, 1,, 1,, 1, 1,, -1,
test_1191#T5+topic+specific+generic_best_beam_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Unwinnable contracts for Yucca Mountain nuclear waste repository, -1, -1,, -1,, 1, 1,, 1,
test_1191#T5+topic+specific+inf_best_beam_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Removing Yucca Mountain nuclear waste is costly, -1, -1,, -1,, 1, 1,, 1,
test_1191#T5+topic_best_beam_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Renewing Yucca Mountain Nuclear Waste Repository would be costly, -1, -1,, -1,, -1, 1,, 1,
test_1191#T5cherryfsmooth+topic+gen_selected_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.","Canceling Yucca Mountain nuclear waste is a ""breach of contract""", 1, 1,, -1,, -1, -1,, 1,
test_1191#T5cherryfsmooth+topic+is_selected_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Cancelling the Yucca Mountain license would be a legal breach, 1, 1,, 1,, 1, -1,, -1,
test_1191#T5cherryfsmooth+topic+specific+generic_selected_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.","Nuclear waste disposal would be a ""breach of contract""", -1, -1,, -1,, -1, 1,, 1,
test_1191#T5cherryfsmooth+topic+specific+inf_selected_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.","If the Yucca Mountain license is revoked, it will be a breach of contract.", 1, 1,, 1,, 1, -1,, -1,
test_1191#T5cherrysmooth+topic+specific+generic_selected_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Nuclear waste disposal would be a breach of contract, -1, -1,, -1,, -1, 1,, 1,
test_1191#T5cherrysmooth+topic_selected_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Canceling Yucca Mountain Nuclear Waste would be costly, -1, 1,, 1,, -1, 1,, -1,
test_1191#T5smooth+topic+gen_best_beam_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.","If the U.S. govt cancels the license for the Yucca Mountain nuclear waste repository, it", -1, 0,, 1,, -1, 0,, -1,
test_1191#T5smooth+topic+specific+inf_best_beam_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Yucca Mountain licenses are a breach of contract, -1, -1,, -1,, -1, 1,, 1,
test_1191#T5smooth+topic_best_beam_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Removing nuclear waste is expensive, 1, -1,, -1,, 1, 1,, 1,
test_1191#T5_best_beam_prediction,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Nuclear energy license cancellation would be costly, 1, -1,, -1,, 1, 1,, 1,
test_1191#T5_ground_truth,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Canceling Yucca Mountain facility is a legal liability., -1, 1,, 1,, 1, 1,, -1,
test_1191#_random_conclusion,Yucca Mountain nuclear waste repository,"If the U.S. Government cancels the license for the Yucca Mountain Nuclear Waste Repository, it will likely constitute a full ""breach of contract"", potentially costing around 1 billion dollars. Courts have already awarded over 1 billion dollars to to utility companies. Nuclear power consumers have already paid around 29 billion dollars for into the Yucca Mountain Construction fund.",Veal farming is a good alternative to the slaughtering of unwanted calves, -1, -1,, -1,, -1, -1,, -1,
test_1197#T5cherryfsmooth+topic+specific+generic_selected_prediction,Yucca Mountain nuclear waste repository,"scientists have long maintained that corrosion wouldn't threaten the integrity of the storage containers for at least 10,000 years.",Nuclear waste disposal has not been proven to be unsafe, 1,, 1,, -1, 1,, 1,, -1
test_1197#T5cherryfsmooth+topic+specific+inf_selected_prediction,Yucca Mountain nuclear waste repository,"scientists have long maintained that corrosion wouldn't threaten the integrity of the storage containers for at least 10,000 years.",corrosion wouldn't threaten the integrity of the repository, 1,, 1,, 1, -1,, -1,, 1
test_1197#T5cherrysmooth+topic+specific+generic_selected_prediction,Yucca Mountain nuclear waste repository,"scientists have long maintained that corrosion wouldn't threaten the integrity of the storage containers for at least 10,000 years.",Nuclear waste storage containers have a long-life., 1,, 1,, 1, 1,, 1,, 1
test_1197#T5cherrysmooth+topic_selected_prediction,Yucca Mountain nuclear waste repository,"scientists have long maintained that corrosion wouldn't threaten the integrity of the storage containers for at least 10,000 years.",Corrosion does not threaten the integrity of storage containers., 1,, 1,, -1, -1,, -1,, -1
test_1197#T5smooth+topic+specific+generic_best_beam_prediction,Yucca Mountain nuclear waste repository,"scientists have long maintained that corrosion wouldn't threaten the integrity of the storage containers for at least 10,000 years.",Nuclear waste storage would not be contaminated, 1,, -1,, -1, 1,, -1,, -1
test_1197#T5smooth+topic_best_beam_prediction,Yucca Mountain nuclear waste repository,"scientists have long maintained that corrosion wouldn't threaten the integrity of the storage containers for at least 10,000 years.",The Yucca Mountain nuclear waste repository is safe, 1,, 1,, -1, 1,, 1,, -1
test_1222#T5+topic+gen_best_beam_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Zoos raise awareness of endangered species., 1, 1,, 1,, -1, -1,, -1,
test_1222#T5+topic+inf_best_beam_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Zoos can raise awareness of endangered species, 1, 1,, 1,, -1, -1,, -1,
test_1222#T5+topic+is_best_beam_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Visitors to zoos may raise awareness of endangered species, 1, 1,, 1,, -1, -1,, -1,
test_1222#T5+topic+specific+generic+inf_best_beam_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Zoos increase awareness of endangered species, 1, 1,, 1,, 1, -1,, -1,
test_1222#T5+topic+specific+generic_best_beam_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Zoos help raise awareness of endangered animals, 1, 1,, 1,, -1, -1,, -1,
test_1222#T5+topic+specific+inf_best_beam_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Visitors to zoos may raise awareness about endangered species, 1, 1,, 1,, -1, 1,, -1,
test_1222#T5+topic_best_beam_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Zoos educate the public about endangered species., 1, 1,, 1,, 1, 1,, -1,
test_1222#T5cherryfsmooth+topic+is_selected_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Zoos raise awareness of endangered species, 1, 1,, 1,, -1, -1,, -1,
test_1222#T5cherryfsmooth+topic+specific+generic_selected_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Zoos help raise awareness of endangered species, 1, 1,, 1,, -1, -1,, -1,
test_1222#T5cherryfsmooth+topic+specific+inf_selected_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Zoos help raise awareness of endangered species., 1, 1,, 1,, -1, -1,, -1,
test_1222#T5smooth+topic+gen_best_beam_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Zoos can help raise awareness of endangered species, 1, 1,, 1,, -1, -1,, -1,
test_1222#T5smooth+topic+specific+generic_best_beam_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Visitors to zoos can raise awareness of endangered species, 1, 1,, 1,, -1, -1,, -1,
test_1222#T5smooth+topic+specific+inf_best_beam_prediction,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Visitors to zoos may learn about endangered species., 1, 1,, 1,, 1, 1,, -1,
test_1222#T5_ground_truth,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Zoos can raise awareness of endangered species., 1, 1,, 1,, -1, -1,, -1,
test_1222#_random_conclusion,Zoos,Visitors to zoos may raise their awareness of endangered species by being directly exposed to them.,Trying terrorists in US courts will not help US achieve anything., -1, -1,, -1,, -1, -1,, -1,
test_15#T5+topic+specific+generic+inf_best_beam_prediction,Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Terrorists will not change tactics of torture., 1, -1, -1,,, 1, 1, -1,,
test_15#T5smooth+topic_best_beam_prediction,Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Terrorists won't be stopped by a ban on torture, -1, 1, 1,,, -1, -1, 0,,
test_15#T5_best_beam_prediction,Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Terrorists would not be threatened by a Western policy of torture, 1, 1, 1,,, 1, 1, 1,,
test_15#T5_ground_truth,Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.","Terrorists are going to kidnap, torture, and kill Western troops regardless of whether the West", -1, 0, 0,,, -1, 0, 0,,
test_15#_random_conclusion,Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Saddam's regime posed a general menace to international law and security, -1, -1, -1,,, -1, -1, -1,,
test_16#T5+topic+specific+generic+inf_best_beam_prediction,Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.",Tortured POWs are not tortured by other states, -1, -1, -1,,, -1, 1, -1,,
test_16#T5smooth+topic_best_beam_prediction,Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.",Torture on POWs is not a form of torture, -1, -1, -1,,, -1, 1, -1,,
test_16#T5_best_beam_prediction,Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.",No Western nation performs torture on foreign prisoners., -1, 1, 1,,, -1, -1, -1,,
test_16#T5_ground_truth,Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.","Torture is not being applied to legitimate foreign troops, but terrorists:", 1, 1, 1,,, 1, -1, -1,,
test_16#_random_conclusion,Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.",EU admission undermines Turkey's democratic example to Middle East, -1, -1, -1,,, -1, -1, -1,,
test_18#T5+topic+specific+generic+inf_best_beam_prediction,Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.",Torture is dehumanizing., 1, 1, 1,,, -1, -1, -1,,
test_18#T5smooth+topic_best_beam_prediction,Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Torture has a brutalizing, dehumanizing effect", 1, 1, 1,,, -1, -1, -1,,
test_18#T5_best_beam_prediction,Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Torture has a brutalizing, dominating effect.", 1, 1, 1,,, -1, -1, -1,,
test_18#T5_ground_truth,Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.",Torture dehumanizes the torturer, 1, 1, 1,,, -1, -1, -1,,
test_18#_random_conclusion,Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Trying terrorists risks releasing intelligence, costing lives", -1, -1, -1,,, -1, -1, -1,,
test_188#T5+topic+specific+generic+inf_best_beam_prediction,TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",Children's TV viewing fosters negative emotions, 1, 1, 1,,, -1, -1, 1,,
test_188#T5smooth+topic_best_beam_prediction,TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",Popularity of TV is harmful to children, 1, 1, 1,,, -1, 1, 1,,
test_188#T5_best_beam_prediction,TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",Violence on TV and in movies encourages psychological stress, 1, 1, 1,,, 1, -1, 1,,
test_188#T5_ground_truth,TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",Depression is a well-known psychological problem of modern society that is partly caused by TV watching:, 1, 1, 0,,, 1, 1, 0,,
test_188#_random_conclusion,TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",US-India deal does not cap or limit Indian fissile material production., -1, -1, -1,,, -1, -1, -1,,
test_190#T5+topic+specific+generic+inf_best_beam_prediction,TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",Educational TV shows are beneficial for children., 1, 1, 1,,, 1, 1, 0,,
test_190#T5smooth+topic_best_beam_prediction,TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",There are many educational programs for children., 1, 1, 1,,, 1, -1, -1,,
test_190#T5_best_beam_prediction,TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",There are many educational TV shows for children., 1, 1, 1,,, 1, -1, -1,,
test_190#T5_ground_truth,TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",Educational TV shows., -1, 0, -1,,, -1, 0, -1,,
test_190#_random_conclusion,TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",Post-invasion UN resolutions authorized the presence of coalition forces in Iraq., -1, -1, -1,,, -1, -1, -1,,
test_192#T5+topic+specific+generic+inf_best_beam_prediction,TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.",Television has a negative effect on education and culture, 1, 1, 1,,, 1, 1, 0,,
test_192#T5smooth+topic_best_beam_prediction,TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.",Television is a form of entertainment., -1, 1, 1,,, -1, -1, -1,,
test_192#T5_best_beam_prediction,TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.",Television is a temple of shallow values, 1, 1, 1,,, -1, -1, -1,,
test_192#T5_ground_truth,TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.",Television is mostly directed to films and shows that have commercial purposes but little cultural value:, 1, 1, 1,,, 1, 1, 1,,
test_192#_random_conclusion,TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.","Torture is not punishment, but a measure to protect innocent civilians", -1, -1, -1,,, -1, -1, -1,,
test_196#T5+topic+specific+generic+inf_best_beam_prediction,Twin Towers reconstruction,"Pentagon, hardly a symbol of peace, has been rebuilt. Twin towers weren't. The message that this sends to the public is hardly positive.",Twin towers are hardly a symbol of peace, -1, -1, -1,,, -1, 1, -1,,
test_196#T5smooth+topic_best_beam_prediction,Twin Towers reconstruction,"Pentagon, hardly a symbol of peace, has been rebuilt. Twin towers weren't. The message that this sends to the public is hardly positive.",Twin towers are not a symbol of peace, -1, -1, -1,,, -1, 1, -1,,
test_196#T5_best_beam_prediction,Twin Towers reconstruction,"Pentagon, hardly a symbol of peace, has been rebuilt. Twin towers weren't. The message that this sends to the public is hardly positive.",Pentagon rebuild sends wrong message of peace, 1, -1, 1,,, 1, -1, 1,,
test_196#T5_ground_truth,Twin Towers reconstruction,"Pentagon, hardly a symbol of peace, has been rebuilt. Twin towers weren't. The message that this sends to the public is hardly positive.",Twin Towers were a symbol of peace and prosperity., -1, -1, 0,,, -1, 1, 0,,
test_196#_random_conclusion,Twin Towers reconstruction,"Pentagon, hardly a symbol of peace, has been rebuilt. Twin towers weren't. The message that this sends to the public is hardly positive.",US oil crisis warrants drastic action and offshore oil drilling, -1, -1, -1,,, -1, -1, -1,,
test_197#T5+topic+specific+generic+inf_best_beam_prediction,Twin Towers reconstruction,"Actually, the currently planned status of the WTC site is one giant advertisement for the success of terrorism.",Reconstruction of Twin Towers would encourage terrorist attacks, -1, -1, -1,,, -1, 1, -1,,
test_197#T5smooth+topic_best_beam_prediction,Twin Towers reconstruction,"Actually, the currently planned status of the WTC site is one giant advertisement for the success of terrorism.",Twin Towers are a form of terrorism, -1, -1, -1,,, -1, 1, -1,,
test_197#T5_best_beam_prediction,Twin Towers reconstruction,"Actually, the currently planned status of the WTC site is one giant advertisement for the success of terrorism.",WTC is an advertisement for terrorism, 1, 1, 1,,, -1, -1, 1,,
test_197#T5_ground_truth,Twin Towers reconstruction,"Actually, the currently planned status of the WTC site is one giant advertisement for the success of terrorism.",The fact that the Twin Towers weren't rebuilt is a symbol of defeat of the american way of life, 1, 1, 1,,, 1, 1, 1,,
test_197#_random_conclusion,Twin Towers reconstruction,"Actually, the currently planned status of the WTC site is one giant advertisement for the success of terrorism.","Litigation to clear land (""scenery"") for windmills can be costly.", -1, -1, -1,,, -1, -1, -1,,
test_199#T5+topic+specific+generic+inf_best_beam_prediction,Twin Towers reconstruction,"The best memorial for the victims of 9/11 and the ensuing wars would definitely be rebuilt Twin Towers, not two uglish pits.",Twin Towers would be a better memorial for 9/11, 1, 1, -1,,, 1, -1, -1,,
test_199#T5smooth+topic_best_beam_prediction,Twin Towers reconstruction,"The best memorial for the victims of 9/11 and the ensuing wars would definitely be rebuilt Twin Towers, not two uglish pits.","Twin Towers should be rebuilt, not rebuilt", -1, 0, -1,,, -1, 0, -1,,
test_199#T5_best_beam_prediction,Twin Towers reconstruction,"The best memorial for the victims of 9/11 and the ensuing wars would definitely be rebuilt Twin Towers, not two uglish pits.",Rebuilding 9/11 memorials would be better than two ugly pits, -1, 1, 1,,, -1, -1, -1,,
